// race-specific variables (must start with _)
_empire                           | los Nazlokianos, los Sarlokianos, los Spailokianos, los Shadelokianos, los Nazlokianos
_empireof                         | de los Nazlokianos, de los Sarlokianos, de los Spailokianos, de los Shadelokianos, de los Nazlokianos
_raceadjec                        | Nazlokiano, Sarlokiano, Spailokiano, Shadelokiano, Nazlokiano
_raceadjecF                       | Nazlokiana, Sarlokiana, Spailokiana, Shadelokiana, Nazlokiana
_race_pluralnoun                  | los Nazlokianos, los Sarlokianos, los Spailokianos, los Shadelokianos, los Nazlokianos
_race_pluralnounF                 | las Nazlokianas, las Sarlokianas, las Spailokianas, las Shadelokianas, las Nazlokianas
_race_pluralnounof                | de los Nazlokianos, de los Sarlokianos, de los Spailokianos, de los Shadelokianos, de los Nazlokianosi
_race_pluralnounto                | a los Nazlokianos, a los Sarlokianos, a los Spailokianos, a los Shadelokianos, a los Nazlokianos
_race_pluraladjec                 | Nazlokianos, Sarlokianos, Spailokianos, Shadelokianos, Nazlokianos
_race_pluraladjecF                | Nazlokiana, Sarlokiana, Spailokiana, Shadelokiana, Nazlokiana
_title                            | Soberano
_nameTitle                        | 

//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.

// Advisor text
MAIN_ADVISOR_TITLE                | Consejero %1
MAIN_ADVISOR_BUTTON_OK            | Descartar
MAIN_ADVISOR_SCOUT                | Hemos terminado la construcción de un par de exploradores y una nave colonizadora. Esperemos que las respuestas que buscamos se presenten en un mundo cercano.
MAIN_ADVISOR_TRANSPORT            | No se encontraron respuestas en el planeta %1. Todavía deberíamos aumentar nuestro número allí enviando todos los transportes que podamos.
MAIN_ADVISOR_DIPLOMACY            | Se han dado a conocer representantes de un pueblo originario de este plano. Debemos hacer todo lo que podamos para aprender las respuestas que poseen.
MAIN_ADVISOR_SHIP_ENGINE          | Hemos descubierto una manera de producir motores más eficientes. Debemos llegar a un consenso sobre la mejor manera de actualizar los diseños de nuestras naves para utilizar esta nueva tecnología.
MAIN_ADVISOR_RALLY_POINTS         | ¡Ha comenzado un conflicto inevitable! Nuestras instalaciones de producción pueden dirigir sus nave recién construidas para unirse a un solo mundo y formar una flota allí para defendernos de los agresores.
MAIN_ADVISOR_MISSILE_BASES        | Hemos perdido demasiado al venir a este universo para perder más ahora: Haga que nuestras colonias se protejan de los enemigos construyendo tantas bases de misiles defensivas como puedan.
MAIN_ADVISOR_SHIP_WEAPON          | Hemos descubierto nueva tecnología que mejora las capacidades ofensivas de nuestras naves estelares. Nuevamente debemos decidir cómo actualizar los diseños de nuestras naves para aprovechar esto lo antes posible.
MAIN_ADVISOR_COUNCIL              | Hay rumores de una reunión conocida como el Consejo Galáctico que ocurrirá pronto. Nuestros espías esperan usarlo como una oportunidad para recopilar toda la inteligencia que puedan. ¡El futuro de nuestra raza depende de ello!
MAIN_ADVISOR_REBELLION            | ¿La gente de %1 ha perdido la cabeza? ¡Olvidan que solo juntos podemos prevalecer en este universo! ¡Debemos hacer un ejemplo de esta rebelión inmediatamente!
MAIN_ADVISOR_RESIST_COUNCIL       | Siempre se supo que nuestras probabilidades de éxito aquí eran escasas. Luchar contra el Consejo Galáctico y sus aliados hace poco para obstaculizar nuestras posibilidades.
MAIN_ADVISOR_COUNCIL_RESISTED     | ¡Hemos trabajado durante demasiado tiempo para doblegar a estos tontos a nuestra voluntad! ¡La rebelión contra nuestro liderazgo no puede ser tolerada! ¡Destrúyalos de una vez!

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
