// race-specific variables (must start with _)
_empire                           | Clan Fiershan, Clan Prrshan, Clan Meowshan, Clan Clawshan, Clan Hisshan
_empireof                         | del Clan Fiershan, del Clan Prrshan, del Clan Meowshan, del Clan Clawshan, del Clan Hisshan
_raceadjec                        | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_raceadjecF                       | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan 
_race_pluralnoun                  | los Fiershan, los Prrshan, los Meowshan, los Clawshan, los Hisshan
_race_pluralnounF                 | las Fiershan, las Prrshan, las Meowshan, las Clawshan, las Hisshan 
_race_pluralnounof                | de los Fiershan, de los Prrshan, de los Meowshan, de los Clawshan, de los Hisshan
_race_pluralnounto                | a los Fiershan, a los Prrshan, a los Meowshan, a los Clawshan, a los Hisshan
_race_pluraladjec                 | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_race_pluraladjecF                | Fiershan, Prrshan, Meowshan, Clawshan, Hisshan
_title                            | Kan
_nameTitle                        | Kan



//
// All text below this point is copyright 2018-2020 Jeff Colucci
// 
// Licensed under the Creative Commons License, 
// Attribution-NonCommercial-NoDerivatives 4.0 International (the "License");
// you may not use this file except in compliance with the License.
// You may obtain a copy of the License at
// 
//     https://creativecommons.org/licenses/by-nc-nd/4.0/
//  
// This license is legally binding. Please review this license before altering 
// or distributing any material covered under this license.
//

// Advisor text
MAIN_ADVISOR_TITLE                | Consejero %1
MAIN_ADVISOR_BUTTON_OK            | Descartar
MAIN_ADVISOR_SCOUT                | Ah-ha! Nuestra primera flota está lista! Usémosla para encontrar un mundo con enemigos que tengan muchos tesoros para tomar.
MAIN_ADVISOR_TRANSPORT            | Hemos conquistado un nuevo territorio en %1. Cuantos más de nosotros transportemos de %3, más rápido encontraremos el botín que tiene este mundo.
MAIN_ADVISOR_DIPLOMACY            | ¡Hemos hecho contacto con una nueva raza alienígena! ¿Cree que demostrarán ser enemigos fuertes, o sus tesoros serán presas
MAIN_ADVISOR_SHIP_ENGINE          | ¡Hemos encontrado una manera de mejorar nuestros motores y hacer que nuestras naves sean aún más rápidas! Si los incorporamos en los diseños de nuestras naves, ¡nuestras incursiones en mundos enemigos serán aún más eficientes!
MAIN_ADVISOR_RALLY_POINTS         | Kan! ¡La guerra está sobre nosotros! Los Kanatos cumplirán su promesa de unirse a usted en este momento, ¡así que establezcan un punto de reunión para decirles dónde enviar sus flotas!
MAIN_ADVISOR_MISSILE_BASES        | ¡Los mundos del borde bajo nuestro control son vulnerables al ataque enemigo! Construyamos bases de misiles para evitar que caigan en manos enemigas.
MAIN_ADVISOR_SHIP_WEAPON          | Hemos logrado desarrollar nuevas y poderosas armas para usar en nuestras naves. Estas seguramente causarán una fuga desordenada entre las fuerzas de nuestros enemigos una vez que las incluyamos en nuestros diseños de naves.
MAIN_ADVISOR_COUNCIL              | Pronto habrá una reunión de pueblos, pero dicen que es por la diplomacia en lugar de la guerra. ¿No es extraño? Aún así, deberíamos asistir a este "Consejo Galáctico", aunque solo sea para aplacar a los imperios más asustadizos.
MAIN_ADVISOR_REBELLION            | ¿S siente mal, Kan? Hay una rebelión en %1 y no ha dado órdenes para sofocarlos.
MAIN_ADVISOR_RESIST_COUNCIL       | ¿Pensaron que simplemente nos acostaríamos y dejaríamos que pusieran la paz de los cobardes sobre la galaxia de esa manera? Empecemos las incursiones, Kan: ¡nuestra gente está ansiosa por tesoros 
MAIN_ADVISOR_COUNCIL_RESISTED     | ¡Esos tontos rebeldes rechazan nuestro gobierno! Mostrémosles nuestro dicho: ¡los fuertes toman, los débiles dan! 

// text for endings... '#' represents a paragraph break
// variables: %1 Game year, %2 player name, %3 player race, %4 player empire, %5 leader name, %6 leader race, %7 leader empire, %8 is special race-specific text described below
GAME_OVER_MILITARY_LOSS2          | Sus preciados tesoros ahora libres para ser tomados...#Las temibles flotas de incursores del Kanato que golpeaban como un rayo fantasmal una vez hicieron que civilizaciones enteras temieran viajar demasiado lejos de casa. En su apogeo, tomó la riqueza de civilizaciones enteras y las agregó a hordas que contenían reliquias que abarcaban cientos de mundos. Pero parece que a través de la locura, la arrogancia, la codicia o alguna combinación de ambas, su gente finalmente encontró enemigos que probarían ser más de lo que podían manejar. Y cuando estos enemigos tomaron la ofensiva, fue usted incapaz de evitar el destino que ahora le ha tocado.#El mero rumor de una flota Mrrshan inminente otrora hizo que sistemas estelares enteros temblaran de miedo. Ahora su gente ha sido borrada de esta galaxia, quedando solo como historias de fantasmas para asustar a los hijos de los vencedores para que se porten mejor. Y sus preciosos tesoros, tomados de tantos mundos, han sido robados y colocados en casas ricas y museos: ahora reliquias del pasado lejano, al igual que su gente...
GAME_OVER_MILITARY_WIN2           | ¡Los tesoros de esta galaxia son suyos para tomarlos!#En esta noche, toda la superficie de su mundo natal estalla en rugidos celebrando la victoria suprema de su pueblo. Porque esta noche es la primera de la nueva era, donde los Kanatos Mrrshan solos dominan la galaxia. Lo que una vez comenzó como simples incursiones en busca de botín y renombre, finalmente se convirtió en una campaña a gran escala que abarcó planetas, sistemas estelares y, finalmente, la totalidad de la galaxia conocida. Contra viento y marea, y contra todos los retadores, todos los demás imperios han caído bajo el peso de su abrumadora ferocidad y poder.#Con los rivales más débiles cayendo ante ustedes uno por uno, su gente no vio la necesidad de aliados. Evitando los enredos políticos y el lamentable trabajo penoso de la diplomacia, han tomado la última de las fortalezas que se oponían a ustedes, y ahora puede tomar el botín de mil mundos. Y cuando esta galaxia les haya dado todo lo que tiene, ¡ay de aquellos que habitan en las estrellas aún más allá! Ellos se estremecerán a su llegada, y su botín será también suyo, por cualquier medio necesario...
GAME_OVER_MILITARY_ALLIANCE_WIN2  | El botín de esta galaxia para usted y sus aliados...#Sus incursiones finalmente han dado frutos brillantes de un valor más allá de toda medida. Desde sus primeras incursiones en la diplomacia, se hizo evidente que su orgullosa cultura nunca podría coexistir en paz con aquellos que poseían tesoros tan maravillosos sin la fuerza para defenderlos. Sabía que las guerras serían inevitables. Pero, sorprendentemente, encontró a otros en las profundidades del espacio que no solo tenían la fuerza para defender su propio botín, sino también un interés en llenar sus propios cofres.#Juntos, usted y sus aliados libraron guerras de las que se hablará en la leyenda hasta el final de los tiempos. Compartieron conquistas y riquezas por igual. Mientras los cuerpos de sus frágiles enemigos yacen destrozados a lo largo del camino hacia el futuro, solo tiene que dividir el botín y deleitarse con la emoción de la victoria. Pero una palabra de advertencia, Kan Dorado: no importa cuán leales hayan luchado sus aliados a su lado, aquellos con buen ojo para el oro pueden posar su mirada en sus amigos cuando no haya más enemigos con tesoros listos para ser tomados...
GAME_OVER_COUNCIL_LOSS2           | Sus incursiones y su forma de vida han llegado a un abrupto final....#La mayor amenaza a la cultura de su pueblo finalmente se ha hecho realidad. Después de incontables años de explorar el espacio y conquistar las estrellas, los diversos imperios que componen esta galaxia han decidido olvidar las disputas del pasado y unirse en una coexistencia unida que llaman la Nueva República. Y como todas las nuevas eras merecen nuevos líderes, el Consejo Galáctico ha elegido a uno para que los guíe hacia esta nueva era. Baste decir que no lo eligieron.#Aunque hizo lo mejor que pudo en la diplomacia, la coexistencia armoniosa nunca ha sido el fuerte de su pueblo. La desconfianza que provenía de sus constantes incursiones y las viejas heridas infligidas a sus súbditos hicieron que su posición diplomática entre el consejo se viera irrevocablemente empañada. Con la unidad de la galaxia ahora como una certeza que no puede esperar eludir, sus incursiones en busca de tesoros y gloria ahora han llegado a un final permanente. Su gente debe adaptarse a esta nueva era, o morir en el intento...
GAME_OVER_REBELLION_LOSS2         | Sus preciados tesoros ahora libres para ser tomados...#Los días en que su gente saqueaba esta galaxia de sus más maravillosos tesoros han llegado a su fin. Con la formación de la Nueva República y la unificación de la galaxia bajo el estandarte de la raza %6, usted sabía que los ritos sagrados de la cultura de su pueblo estarían condenados si no se rebelaba contra la llegada de esta nueva era equivocada. Pero, ya sea por obediencia ciega a su nuevo amo o por miedo a los Fiershan y la reputación que se han ganado en toda la galaxia, luchó usted solo contra esta rebelión.#Sus rivales sabían que no podían luchar solos contra sus ejércitos y marcharse victoriosos, por lo que, en su lugar, agruparon sus recursos y sus flotas mientras luchaban hombro con hombro contra la rebelión Fiershan. Aunque su gente luchó con la tenacidad legendaria que ha inspirado el miedo en toda la galaxia, ni ellos ni usted podían aspirar a superar a las fuerzas combinadas de la Nueva República. Ahora su rebelión llega a un final muy desafortunado, y todo lo que les queda a los vencedores es reclamar su botín para sí mismos...
