

//
// Armor techs
// 
ARMOR_0_NAME     | Armadura de titanio
ARMOR_0_ITEM     | Titanio
ARMOR_0_BRIEF    | Puntos de golpe %1
ARMOR_0_DETAIL   | Comienzo de la tecnología de armaduras. No hay bonificaciones para blindaje de naves o ataques terrestres.

ARMOR_1_NAME     | Armadura de duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | Puntos de golpe  %1
ARMOR_1_DETAIL   | Incrementa en un 50% los puntos de golpe de naves y transportes. La armadura de combate personal también se mejora, agregando 5 a todos los ataques terrestres.

ARMOR_2_NAME     | Armadura zortrium Armor
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | Puntos de golpe %1
ARMOR_2_DETAIL   | Incrementa en un 100% los puntos de golpe de naves y transportes. La armadura de combate personal también se mejora, agregando 10 a todos los ataques terrestres.

ARMOR_3_NAME     | Armadura de andrio
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | Puntos de golpe %1
ARMOR_3_DETAIL   | Incrementa en un 150% los puntos de golpe de naves y transportes La armadura de combate personal también se mejora, agregando 15 a todos los ataques terrestres.

ARMOR_4_NAME     | Armadura de tritanio
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | Puntos de golpe %1
ARMOR_4_DETAIL   | Incrementa en un 200% los puntos de golpe de naves y transportes. La armadura de combate personal también se mejora, agregando 20 a todos los ataques terrestres.

ARMOR_5_NAME     | Armadura de adamantio
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | Puntos de golpe %1
ARMOR_5_DETAIL   | Incrementa en un 250% los puntos de golpe de naves y transportes La armadura de combate personal también se mejora, agregando 25 a todos los ataques terrestres.

ARMOR_6_NAME     | Armadura de neutronio
ARMOR_6_ITEM     | Neutroniuo
ARMOR_6_BRIEF    | Puntos de golpe %1
ARMOR_6_DETAIL   | Incrementa en un 300% los puntos de golpe de naves y transportes La armadura de combate personal también se mejora, agregando 30 a todos los ataques terrestres.


//
// Atmospheric Terraforming techs
// 
ATMOSPHERE_0_NAME      | Terraformación atmosférica
ATMOSPHERE_0_DETAIL    | Converts Hostile environments to Normal environments for a cost of 150 BCs.

//
// Automated Repair techs
// 
AUTOREPAIR_0_NAME      | Sistema de Reparación Automatizado
AUTOREPAIR_0_BRIEF     | Cura el 15% de los golpes de la nave por turno.
AUTOREPAIR_0_DETAIL    | Las naves no destruidas pueden ser reparadas hasta el 15% de sus Puntos de golpe totales al final de cada turno.

AUTOREPAIR_1_NAME      | Control de daños avanzado
AUTOREPAIR_1_BRIEF     | Cura el 30% de los golpes de la nave por turno.
AUTOREPAIR_1_DETAIL    | Las naves no destruidas pueden ser reparadas hasta el 30% de sus Puntos de golpe totales al final de cada turno.


//
// Battle Computer techs
// 
// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | 
COMPUTER_0_ITEM    |  
COMPUTER_0_BRIEF   | Nivel de ataque 0
COMPUTER_0_DETAIL  |

COMPUTER_1_NAME    | Computadora de batalla Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Nivel de ataque I
COMPUTER_1_DETAIL  | Aumenta la precisión del arma al Nivel 1.

COMPUTER_2_NAME    | Computadora de batalla Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Nivel de ataque II
COMPUTER_2_DETAIL  | Aumenta la precisión del arma al Nivel 2.

COMPUTER_3_NAME    | Computadora de batalla Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Nivel de ataque III
COMPUTER_3_DETAIL  | Aumenta la precisión del arma al Nivel 3.

COMPUTER_4_NAME    | Computadora de batalla Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Nivel de ataque IV
COMPUTER_4_DETAIL  | Aumenta la precisión del arma al Nivel 4.

COMPUTER_5_NAME    | Computadora de batalla Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Nivel de ataque V
COMPUTER_5_DETAIL  | Aumenta la precisión del arma al Nivel 5.

COMPUTER_6_NAME    | Computadora de batalla Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Nivel de ataque VI
COMPUTER_6_DETAIL  | Aumenta la precisión del arma al Nivel 6.

COMPUTER_7_NAME    | Computadora de batalla Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Nivel de ataque VII
COMPUTER_7_DETAIL  | Aumenta la precisión del arma al Nivel 7.

COMPUTER_8_NAME    | Computadora de batalla Mark VIII
COMPUTER_8_ITEM    | Mark VIII
COMPUTER_8_BRIEF   | Nivel de ataque VIII
COMPUTER_8_DETAIL  | Aumenta la precisión del arma al Nivel 8.

COMPUTER_9_NAME    | Computadora de batalla Mark IX
COMPUTER_9_ITEM    | Mark IX
COMPUTER_9_BRIEF   | Nivel de ataque IX
COMPUTER_9_DETAIL  | Aumenta la precisión del arma al Nivel 9.

COMPUTER_10_NAME   | Computadora de batalla Mark X
COMPUTER_10_ITEM   | Mark X
COMPUTER_10_BRIEF  | Nivel de ataque X
COMPUTER_10_DETAIL | Aumenta la precisión del arma al Nivel 10.

COMPUTER_11_NAME   | Computadora de batalla Mark XI
