
//
// Armor techs
//
ARMOR_NAME       | Technologies des blindages
ARMOR_DETAIL     | Le blindage déterminera les points de structure de vos vaisseaux. Au fur et à mesure que vous recherchez un meilleur blindage (en commençant par le titane, puis le duralloy, le zortrium, l'andrium, le tritanium, l'adamantium et le neutronium), chacune des tailles de coque gagnera plus de points de structure.<br>Notez que chaque type de blindage est disponible en simple épaisseur par défaut ou en double épaisseur (la double épaisseur est identifiée par un II). Une armure de double épaisseur prend plus de place, mais ajoute à votre vaisseau 50 % de points de structure.<br>Notez également que le blindage bénéficie des avantages de la miniaturisation (Chaque dix niveaux de technologie de construction, que vous avez au-dessus du niveau de technologie d'un blindage, réduisent son coût de 50 % et sa taille de 25 %).<br>Les armures de combat de vos troupes bénéficient également des nouveaux blindages,  renforcant toutes les attaques au sol.

ARMOR_0_NAME     | Blindage en Titane
ARMOR_0_ITEM     | Titane
ARMOR_0_BRIEF    | %1 pts de structure
ARMOR_0_DETAIL   | Technologie de blindage de base. Aucun bonus au blindage de vos vaisseaux ni aux attaques au sol.

ARMOR_1_NAME     | Blindage en Duralloy
ARMOR_1_ITEM     | Duralloy
ARMOR_1_BRIEF    | %1 pts de structure
ARMOR_1_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 50 %. Les armures de combat de vos troupes ajoutent un bonus de 5 points à toutes les attaques au sol.

ARMOR_2_NAME     | Blindage en Zortrium
ARMOR_2_ITEM     | Zortrium
ARMOR_2_BRIEF    | %1 pts de structure
ARMOR_2_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 100 %. Les armures de combat de vos troupes ajoutent un bonus de 10 points à toutes les attaques au sol.

ARMOR_3_NAME     | Blindage en Andrium
ARMOR_3_ITEM     | Andrium
ARMOR_3_BRIEF    | %1 pts de structure
ARMOR_3_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 150 %. Les armures de combat de vos troupes ajoutent un bonus de 15 points à toutes les attaques au sol.

ARMOR_4_NAME     | Blindage en Tritanium
ARMOR_4_ITEM     | Tritanium
ARMOR_4_BRIEF    | %1 pts de structure
ARMOR_4_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 200%.  Les armures de combat de vos troupes ajoutent un bonus de 20 points à toutes les attaques au sol.

ARMOR_5_NAME     | Blindage en Adamantium
ARMOR_5_ITEM     | Adamantium
ARMOR_5_BRIEF    | %1 pts de structure
ARMOR_5_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 250%. Les armures de combat de vos troupes ajoutent un bonus de 25 points à toutes les attaques au sol.

ARMOR_6_NAME     | Blindage en Neutronium
ARMOR_6_ITEM     | Neutronium
ARMOR_6_BRIEF    | %1 pts de structure
ARMOR_6_DETAIL   | Augmente les points de structure des vaisseaux et des transports de 300%. Les armures de combat de vos troupes ajoutent un bonus de 30 points à toutes les attaques au sol.
ARMOR_6_INFO     | Il s'agit de l'armure la plus performante.


//
// Atmospheric Terraforming techs
//
ATMOSPHERE_NAME        | Technologies de terraformation atmosphérique
ATMOSPHERE_DETAIL      | <br>Supprime le trait Hostile de la planète :<br>- Modifie l'environnement de la planète pour le rendre normal.<br>- Défini le type de planète à minimal.<br>- Augmente la taille de la planète de 20.<br>Avantages :<br>- Supprime la pénalité de croissance démographique de 50 %.<br>- Supprime la limitation « Terraformation hostile ».

ATMOSPHERE_0_NAME      | Terraformation atmosphérique
ATMOSPHERE_0_DETAIL    | Convertit les environnements hostiles en environnements normaux pour un coût de 150 BC.


//
// Automated Repair techs
//
AUTOREPAIR_NAME        | Appareils spéciaux de réparation automatique
AUTOREPAIR_DETAIL      | Les systèmes de réparation automatique (niveau 14) et le contrôle avancé des dégâts (niveau 36) rendent les vaisseaux plus difficiles à détruire. Grâce à ces dispositifs spéciaux, les vaisseaux non détruits répareront automatiquement jusqu'à 15 % ou 30 % respectivement de leurs points de structure d'avant la bataille à la fin de chaque tour de combat.<br>Lorsque vous attaquez des vaisseaux avec ces systèmes, vous ne pouvez pas les détruire à moins de pouvoir leur infliger plus de dégâts qu'ils ne peuvent réparer à chaque tour.<br>Notez que ces systèmes de réparation et de contrôle des dégâts sont vraiment rentables sur les types de vaisseaux plus gros, car ils peuvent réparer plus de points de dégâts par tour.

AUTOREPAIR_0_NAME      | Robots de maintenance automatique
AUTOREPAIR_0_BRIEF     | Répare 15 % des coups du vaisseau par tour
AUTOREPAIR_0_DETAIL    | À la fin de chaque tour, les vaisseaux non détruits peuvent réparer jusqu'à 15 % de la totalité de leurs points de structure.

AUTOREPAIR_1_NAME      | Maîtrise avancée des dommages
AUTOREPAIR_1_BRIEF     | Répare 30 % des coups du vaisseau par tour
AUTOREPAIR_1_DETAIL    | À la fin de chaque tour, les vaisseaux non détruits peuvent réparer jusqu'à 30 % de la totalité de leurs points de structure.
AUTOREPAIR_1_INFO      | Il s’agit du système de réparation automatisé le plus performant.

AUTOREPAIR_2_NAME      | Max 500 points de structure par tour
AUTOREPAIR_2_BRIEF     | Limite les dégâts à 500 points de structure par tour
AUTOREPAIR_2_DETAIL    | Ne subi jamais plus de 500 dégâts par tour.

AUTOREPAIR_3_NAME      | Mitose de l'amibe
AUTOREPAIR_3_BRIEF     | Se duplique après 500 points dégâts.
AUTOREPAIR_3_DETAIL    | Une fois les dégâts maximum atteints, l'amibe se divise en deux amibes plus petites.


//
// Battle Computer techs
//
COMPUTER_NAME      | Ordinateurs de combat
COMPUTER_DETAIL    | Vaisseaux : les ordinateurs détermineront le niveau d'attaque de votre vaisseau, qui sera comparé à la défense antimissile ou anti-rayon de la cible lors d'un combat.<br>Les bases de missiles sont toujours équipées de vos meilleurs ordinateurs de combat.

// this is the Ship Design entry for selecting no battle computer
COMPUTER_0_NAME    | Règle à calcul
COMPUTER_0_ITEM    | Mark 0
COMPUTER_0_BRIEF   | Niveau d'attaque 0
COMPUTER_0_DETAIL  | Que la force soit avec vous.

COMPUTER_1_NAME    | Ordinateur de Combat Mark I
COMPUTER_1_ITEM    | Mark I
COMPUTER_1_BRIEF   | Niveau d'attaque I
COMPUTER_1_DETAIL  | Augmente la précision de l'arme au niveau 1.

COMPUTER_2_NAME    | Ordinateur de Combat Mark II
COMPUTER_2_ITEM    | Mark II
COMPUTER_2_BRIEF   | Niveau d'attaque II
COMPUTER_2_DETAIL  | Augmente la précision de l'arme au niveau 2.

COMPUTER_3_NAME    | Ordinateur de Combat Mark III
COMPUTER_3_ITEM    | Mark III
COMPUTER_3_BRIEF   | Niveau d'attaque III
COMPUTER_3_DETAIL  | Augmente la précision de l'arme au niveau 3.

COMPUTER_4_NAME    | Ordinateur de Combat Mark IV
COMPUTER_4_ITEM    | Mark IV
COMPUTER_4_BRIEF   | Niveau d'attaque IV
COMPUTER_4_DETAIL  | Augmente la précision de l'arme au niveau 4.

COMPUTER_5_NAME    | Ordinateur de Combat Mark V
COMPUTER_5_ITEM    | Mark V
COMPUTER_5_BRIEF   | Niveau d'attaque V
COMPUTER_5_DETAIL  | Augmente la précision de l'arme au niveau 5.

COMPUTER_6_NAME    | Ordinateur de Combat Mark VI
COMPUTER_6_ITEM    | Mark VI
COMPUTER_6_BRIEF   | Niveau d'attaque VI
COMPUTER_6_DETAIL  | Augmente la précision de l'arme au niveau 6.

COMPUTER_7_NAME    | Ordinateur de Combat Mark VII
COMPUTER_7_ITEM    | Mark VII
COMPUTER_7_BRIEF   | Niveau d'attaque VII
COMPUTER_7_DETAIL  | Augmente la précision de l'arme au niveau 7.

